"","G1","G2","G3","G4"
"1",68,31,52,59
"2",118,46,74,75
"3",137,69,103,104
"4",173,180,209,237
"5",289,222,226,324
"6",304,270,274,341
"7",325,311,312,361
"8",365,330,331,377
"9",392,347,354,413
"10",420,393,427,436
"11",437,542,455,456
"12",512,601,476,510
"13",651,679,502,559
"14",678,770,544,613
"15",697,794,579,645
"16",735,824,637,666
"17",792,881,781,789
"18",923,1028,844,911
"19",1062,1065,910,1112
"20",1085,1180,951,1150
"21",1119,1243,1104,1419
"22",1175,1378,1486,1568
"23",1227,1543,1555,1730
"24",1368,1704,1620,1772
"25",1585,1857,1718,1841
"26",1694,2006,1763,1875
"27",1744,2072,1923,2107
"28",1797,2242,1966,2158
"29",1896,2355,2024,2211
"30",2160,2498,2091,2281
"31",2295,2535,2141,2332
"32",2488,2856,2196,2389
"33",2523,2880,2266,2460
"34",2682,2984,2327,2835
"35",2954,3163,2381,2866
"36",3134,3358,2511,2945
"37",3341,3388,2827,3271
"38",3524,3554,2932,3375
"39",3626,3746,3065,3488
"40",3832,3857,3908,3783
